cursor timestamp xpos ypos event xpath attrs extras
0 1549790186114 0 0 load / {} {}
0 1549790186118 0 0 scroll / {} {}
0 1549790187768 1037 3124 mousemove /html/body/div[2]/pre[26] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1549790187838 869 3078 mousemove /html/body/div[2]/font/table/tbody/tr[9]/td[4] {"TD":{"bgcolor":"#eeeeec"}} {}
0 1549790187897 687 3043 mousemove /html/body/div[2]/font/table/tbody/tr[7]/td[4] {"TD":{"bgcolor":"#eeeeec"}} {}
0 1549790187957 592 3040 mousemove /html/body/div[2]/font/table/tbody/tr[7]/td[2] {"TD":{"bgcolor":"#eeeeec","align":"center"}} {}
0 1549790188018 563 3035 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188077 553 3035 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188181 549 3035 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188238 545 3034 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188296 538 3032 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188357 515 3023 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188417 457 3005 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188476 417 2997 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188537 386 2988 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188596 361 2977 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188662 360 2969 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188717 362 2967 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188817 365 2967 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188877 366 2967 mousemove /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188877 366 2967 mousewheel /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188897 366 2962 mousewheel /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188897 0 0 scroll / {} {}
0 1549790188917 0 0 scroll / {} {}
0 1549790188927 0 0 scroll / {} {}
0 1549790188948 366 2899 mousewheel /html/body/div[2]/font {"FONT":{"size":"1"}} {}
0 1549790188948 0 0 scroll / {} {}
0 1549790188968 0 0 scroll / {} {}
0 1549790188988 0 0 scroll / {} {}
0 1549790189009 0 0 scroll / {} {}
0 1549790189028 0 0 scroll / {} {}
0 1549790189048 0 0 scroll / {} {}
0 1549790189068 0 0 scroll / {} {}
0 1549790189088 0 0 scroll / {} {}
0 1549790189108 0 0 scroll / {} {}
0 1549790189168 305 2703 mousemove /html/body/div[2]/pre[24] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1549790189228 208 2682 mousemove /html/body/div[2]/pre[24] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1549790189269 166 2664 mousewheel /html/body/div[2]/pre[23]/font[8] {"FONT":{"color":"#cc0000"}} {}
0 1549790189278 161 2661 mousewheel /html/body/div[2]/pre[23]/font[8] {"FONT":{"color":"#cc0000"}} {}
0 1549790189302 158 2661 mousewheel /html/body/div[2]/pre[23]/font[8] {"FONT":{"color":"#cc0000"}} {}
0 1549790189308 0 0 scroll / {} {}
0 1549790189328 0 0 scroll / {} {}
0 1549790189348 0 0 scroll / {} {}
0 1549790189390 0 0 scroll / {} {}
0 1549790189410 0 0 scroll / {} {}
0 1549790189430 0 0 scroll / {} {}
0 1549790189449 0 0 scroll / {} {}
0 1549790189469 0 0 scroll / {} {}
0 1549790189530 1279 2267 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549790189582 1279 2269 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549790189677 1279 2271 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549790189729 1279 2285 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549790189790 1279 2293 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549790189878 1279 2295 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549790189931 1279 2300 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549790190071 0 0 scroll / {} {}
0 1549790190090 0 0 scroll / {} {}
0 1549790190111 0 0 scroll / {} {}
0 1549790190132 0 0 scroll / {} {}
0 1549790190152 0 0 scroll / {} {}
0 1549790190172 0 0 scroll / {} {}
0 1549790190192 0 0 scroll / {} {}
0 1549790190211 0 0 scroll / {} {}
0 1549790190232 0 0 scroll / {} {}
0 1549790190252 0 0 scroll / {} {}
0 1549790190272 0 0 scroll / {} {}
0 1549790190293 0 0 scroll / {} {}
0 1549790190313 0 0 scroll / {} {}
0 1549790190333 0 0 scroll / {} {}
0 1549790190353 0 0 scroll / {} {}
0 1549790190374 0 0 scroll / {} {}
0 1549790190393 0 0 scroll / {} {}
0 1549790190413 0 0 scroll / {} {}
0 1549790190433 0 0 scroll / {} {}
0 1549790190453 0 0 scroll / {} {}
0 1549790190472 0 0 scroll / {} {}
0 1549790190493 0 0 scroll / {} {}
0 1549790190513 0 0 scroll / {} {}
0 1549790191753 0 0 scroll / {} {}
0 1549790191773 0 0 scroll / {} {}
0 1549790191793 0 0 scroll / {} {}
0 1549790191818 0 0 scroll / {} {}
0 1549790191838 0 0 scroll / {} {}
0 1549790191858 0 0 scroll / {} {}
0 1549790191878 0 0 scroll / {} {}
0 1549790191898 0 0 scroll / {} {}
0 1549790191918 0 0 scroll / {} {}
0 1549790191938 0 0 scroll / {} {}
0 1549790191958 0 0 scroll / {} {}
0 1549790192221 0 0 scroll / {} {}
0 1549790192238 0 0 scroll / {} {}
0 1549790192259 0 0 scroll / {} {}
0 1549790192278 0 0 scroll / {} {}
0 1549790192300 0 0 scroll / {} {}
0 1549790192320 0 0 scroll / {} {}
0 1549790192340 0 0 scroll / {} {}
0 1549790192359 0 0 scroll / {} {}
0 1549790192380 0 0 scroll / {} {}
0 1549790192399 0 0 scroll / {} {}
0 1549790192445 0 0 scroll / {} {}
0 1549790192725 0 0 scroll / {} {}
0 1549790192740 0 0 scroll / {} {}
0 1549790192760 0 0 scroll / {} {}
0 1549790192780 0 0 scroll / {} {}
0 1549790192801 0 0 scroll / {} {}
0 1549790192821 0 0 scroll / {} {}
0 1549790192842 0 0 scroll / {} {}
0 1549790192862 0 0 scroll / {} {}
