cursor timestamp xpos ypos event xpath attrs extras
0 1548434023710 0 1753 keypress //*[@id='email'] {"INPUT":{"class":"","id":"email","name":"email","type":"email","value":"","placeholder":"ایمیل شما:","aria-required":"true"}} {}
0 1548434023718 0 1753 click //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1548434029580 0 0 unload / {} {}
