cursor timestamp xpos ypos event xpath attrs extras
0 1549722372735 0 0 load / {} {}
0 1549722418076 578 608 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549722418130 564 586 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549722418190 471 405 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549722418251 201 27 mousemove /html/body/div[2]/div[1]/div {"DIV":{"class":"container"}} {}
0 1549722420714 135 3 mousemove /html/body/div[2]/div[1]/div {"DIV":{"class":"container"}} {}
0 1549722420783 230 41 mousemove /html/body/div[2]/div[1]/div {"DIV":{"class":"container"}} {}
0 1549722420844 383 133 mousemove /html/body/div[2]/pre {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1549722420904 564 272 mousemove /html/body/div[2]/div[2]/div/div[3] {"DIV":{"class":"clearfix"}} {}
0 1549722420964 677 375 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549722421024 728 438 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549722421084 787 484 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549722421144 842 514 mousemove /html {"HTML":{"lang":"en"}} {}
0 1549722421186 0 0 unload / {} {}
