cursor timestamp xpos ypos event xpath attrs extras
0 1555184481870 0 0 load / {} {}
0 1555184499546 414 0 mousemove /html/body/div[2]/div[1]/div {"DIV":{"class":"container"}} {}
0 1555184499617 424 9 mousemove /html/body/div[2]/div[1]/div {"DIV":{"class":"container"}} {}
0 1555184499674 428 18 mousemove /html/body/div[2]/div[1]/div {"DIV":{"class":"container"}} {}
0 1555184499733 436 28 mousemove /html/body/div[2]/div[1]/div {"DIV":{"class":"container"}} {}
0 1555184499793 456 44 mousemove /html/body/div[2]/div[1]/div {"DIV":{"class":"container"}} {}
0 1555184499853 470 50 mousemove /html/body/div[2]/div[1]/div {"DIV":{"class":"container"}} {}
0 1555184499914 486 71 mousemove /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555184499973 490 88 mousemove /html/body/div[2]/pre[1]/small {"SMALL":{}} {}
0 1555184500034 490 96 mousemove /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555184500094 492 102 mousemove /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555184500155 496 111 mousemove /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555184500214 501 123 mousemove /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555184500275 512 145 mousemove /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555184500333 518 160 mousemove /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555184500393 518 162 mousemove /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555184500453 523 175 mousemove /html/body/div[2] {"DIV":{"class":"userpr-content"}} {}
0 1555184500513 530 253 mousemove /html/body/div[2]/font[1]/table/tbody/tr[2]/th {"TH":{"align":"left","bgcolor":"#e9b96e","colspan":"5"}} {}
0 1555184500573 557 400 mousemove /html/body/div[2]/pre[2] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555184500634 582 510 mousemove /html/body/div[2]/pre[3] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555184500693 592 544 mousemove /html/body/div[2]/pre[3] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555184500754 620 580 mousemove /html/body/div[2] {"DIV":{"class":"userpr-content"}} {}
0 1555184500813 644 603 mousemove /html/body/div[2]/pre[4] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
