cursor timestamp xpos ypos event xpath attrs extras
0 1555658540276 0 353 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658543350 34 329 mousemove /html/body/div[2]/font[1] {"FONT":{"size":"1"}} {}
0 1555658543407 220 190 mousemove /html/body/div[2] {"DIV":{"class":"userpr-content"}} {}
0 1555658544347 983 5 mousemove /html/body/div[2]/div/div[1]/div[1]/a/span {"SPAN":{}} {}
0 1555658544410 897 58 mousemove /html/body/div[2]/div/div[1]/div[1]/a {"A":{"href":"http://localhost:8080/mousetrc"}} {}
0 1555658544471 800 143 mousemove /html/body/div[2]/pre {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555658544531 765 184 mousemove /html/body/div[2] {"DIV":{"class":"userpr-content"}} {}
0 1555658544590 724 233 mousemove /html/body/div[2]/font[1]/table/tbody/tr[1]/th {"TH":{"align":"left","bgcolor":"#f57900","colspan":"5"}} {}
0 1555658544651 708 246 mousemove /html/body/div[2]/font[1]/table/tbody/tr[2]/th {"TH":{"align":"left","bgcolor":"#e9b96e","colspan":"5"}} {}
0 1555658544711 696 254 mousemove /html/body/div[2]/font[1]/table/tbody/tr[3]/th[4] {"TH":{"align":"left","bgcolor":"#eeeeec"}} {}
0 1555658545043 694 255 mousemove /html/body/div[2]/font[1]/table/tbody/tr[3]/th[4] {"TH":{"align":"left","bgcolor":"#eeeeec"}} {}
0 1555658545283 693 255 mousemove /html/body/div[2]/font[1]/table/tbody/tr[3]/th[4] {"TH":{"align":"left","bgcolor":"#eeeeec"}} {}
0 1555658545459 692 255 mousemove /html/body/div[2]/font[1]/table/tbody/tr[3]/th[4] {"TH":{"align":"left","bgcolor":"#eeeeec"}} {}
0 1555658545571 689 254 mousemove /html/body/div[2]/font[1]/table/tbody/tr[3]/th[4] {"TH":{"align":"left","bgcolor":"#eeeeec"}} {}
0 1555658545651 688 253 mousemove /html/body/div[2]/font[1]/table/tbody/tr[2]/th {"TH":{"align":"left","bgcolor":"#e9b96e","colspan":"5"}} {}
0 1555658545996 687 252 mousemove /html/body/div[2]/font[1]/table/tbody/tr[2]/th {"TH":{"align":"left","bgcolor":"#e9b96e","colspan":"5"}} {}
0 1555658547011 687 251 mousemove /html/body/div[2]/font[1]/table/tbody/tr[2]/th {"TH":{"align":"left","bgcolor":"#e9b96e","colspan":"5"}} {}
0 1555658547291 690 252 mousemove /html/body/div[2]/font[1]/table/tbody/tr[2]/th {"TH":{"align":"left","bgcolor":"#e9b96e","colspan":"5"}} {}
0 1555658547387 692 252 mousemove /html/body/div[2]/font[1]/table/tbody/tr[2]/th {"TH":{"align":"left","bgcolor":"#e9b96e","colspan":"5"}} {}
0 1555658547441 712 244 mousemove /html/body/div[2]/font[1]/table/tbody/tr[2]/th {"TH":{"align":"left","bgcolor":"#e9b96e","colspan":"5"}} {}
0 1555658547501 1020 184 mousemove /html/body/div[2] {"DIV":{"class":"userpr-content"}} {}
0 1555658547561 1279 127 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658547621 1279 87 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658547843 1278 80 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658547942 1276 85 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658548163 1276 86 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658548299 1276 88 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658548371 1276 90 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658548475 1274 92 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658548843 1274 93 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658550907 1273 95 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658550987 1273 96 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658551099 1273 97 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658551155 1271 99 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658551255 1269 100 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658551323 1265 102 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555658551375 1260 105 mousemove /html/body/div[2]/pre {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555658551435 1253 109 mousemove /html/body/div[2]/pre {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555658551496 1250 113 mousemove /html/body/div[2]/pre {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555658551556 1247 116 mousemove /html/body/div[2]/pre {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555658551616 1241 132 mousemove /html/body/div[2]/pre {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555658551676 1226 167 mousemove /html/body/div[2]/pre {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555658551736 1170 239 mousemove /html/body/div[2]/font[1]/table/tbody/tr[2]/th {"TH":{"align":"left","bgcolor":"#e9b96e","colspan":"5"}} {}
