cursor timestamp xpos ypos event xpath attrs extras
0 1555935294627 156 4 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935294679 285 35 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935294739 426 78 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935294816 442 85 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935294888 442 86 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935294944 441 90 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935295265 439 91 mousemove /html/body/div[2]/pre {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935295432 437 92 mousemove /html/body/div[2]/pre {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935295640 434 94 mousemove /html/body/div[2]/pre {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935295702 420 143 mousemove /html/body/div[2]/pre {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935295762 336 257 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935295822 276 299 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935295883 205 316 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935295943 177 310 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935296004 154 301 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935296064 149 296 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935296152 149 293 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935296352 148 291 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935296784 148 290 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935297256 149 290 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935297432 150 289 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935297489 146 282 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935297549 139 275 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935391110 0 0 load / {} {}
0 1555935439154 138 273 mousemove /html/body/div[2]/pre[2] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935439207 0 120 mousemove /html/body/div[2] {"DIV":{"class":"userpr-content"}} {}
0 1555935439259 0 83 mousemove /html/body/div[2] {"DIV":{"class":"userpr-content"}} {}
0 1555935439319 0 31 mousemove /html/body/div[2]/div[1] {"DIV":{"class":"header remodal-bg remodal-is-closed"}} {}
0 1555935439375 0 3 mousemove /html/body/div[2]/div[1] {"DIV":{"class":"header remodal-bg remodal-is-closed"}} {}
0 1555935439683 192 11 mousemove /html/body/div[2]/div[1]/div {"DIV":{"class":"container"}} {}
0 1555935439742 493 73 mousemove /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935439802 649 77 mousemove /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935439818 652 78 mousewheel /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935439832 654 79 mousewheel /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935439856 653 81 mousewheel /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935439867 653 82 mousewheel /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935439879 653 82 mousewheel /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935439911 653 82 mousewheel /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935439983 652 84 mousemove /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935440043 690 159 mousemove /html/body/div[2]/pre[1] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935440103 733 175 mousemove /html/body/div[2] {"DIV":{"class":"userpr-content"}} {}
0 1555935440163 1124 181 mousemove /html/body/div[2] {"DIV":{"class":"userpr-content"}} {}
0 1555935440223 1279 230 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935440279 1279 236 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935440296 1279 238 mousewheel /html {"HTML":{"lang":"en"}} {}
0 1555935440324 0 0 scroll / {} {}
0 1555935440343 0 0 scroll / {} {}
0 1555935440351 1279 249 mousewheel /html {"HTML":{"lang":"en"}} {}
0 1555935440364 0 0 scroll / {} {}
0 1555935440384 0 0 scroll / {} {}
0 1555935440404 0 0 scroll / {} {}
0 1555935440415 1279 298 mousewheel /html {"HTML":{"lang":"en"}} {}
0 1555935440425 0 0 scroll / {} {}
0 1555935440444 0 0 scroll / {} {}
0 1555935440465 0 0 scroll / {} {}
0 1555935440485 0 0 scroll / {} {}
0 1555935440505 0 0 scroll / {} {}
0 1555935440525 0 0 scroll / {} {}
0 1555935440546 0 0 scroll / {} {}
0 1555935440564 0 0 scroll / {} {}
0 1555935440584 0 0 scroll / {} {}
0 1555935440604 0 0 scroll / {} {}
0 1555935440664 1277 580 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935440664 1277 580 mousewheel /html {"HTML":{"lang":"en"}} {}
0 1555935440679 1277 582 mousewheel /html {"HTML":{"lang":"en"}} {}
0 1555935440684 0 0 scroll / {} {}
0 1555935440695 1277 584 mousewheel /html {"HTML":{"lang":"en"}} {}
0 1555935440704 0 0 scroll / {} {}
0 1555935440711 1277 593 mousewheel /html {"HTML":{"lang":"en"}} {}
0 1555935440724 0 0 scroll / {} {}
0 1555935440727 1277 609 mousewheel /html {"HTML":{"lang":"en"}} {}
0 1555935440745 0 0 scroll / {} {}
0 1555935440765 0 0 scroll / {} {}
0 1555935440775 1277 659 mousewheel /html {"HTML":{"lang":"en"}} {}
0 1555935440785 0 0 scroll / {} {}
0 1555935440805 0 0 scroll / {} {}
0 1555935440825 0 0 scroll / {} {}
0 1555935440845 0 0 scroll / {} {}
0 1555935440866 0 0 scroll / {} {}
0 1555935440885 0 0 scroll / {} {}
0 1555935860978 1277 787 mousemove /html {"HTML":{"lang":"en"}} {}
0 1555935861036 1145 850 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935861209 1117 860 mousemove /html/body/div[2] {"DIV":{"class":"userpr-content"}} {}
0 1555935861270 1081 820 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935861337 1070 806 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935861985 1070 807 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935862369 1065 810 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935862430 1030 818 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935863057 1025 820 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935863111 1030 825 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935863170 1057 821 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
0 1555935863251 1051 823 mousemove /html/body/div[2]/pre[7] {"PRE":{"class":"xdebug-var-dump","dir":"ltr"}} {}
