cursor timestamp xpos ypos event xpath attrs extras
0 1551383651217 0 0 load / {} {}
0 1551383652262 708 399 mousemove //*[@id='user_confirm_password'] {"INPUT":{"data-rules":"","data-id":"user_confirm_password","type":"password","class":"input-text input-password ur-frontend-field ","name":"user_confirm_password","id":"user_confirm_password","placeholder":"","value":"","required":"required","data-label":"تایید گذرواژه"}} {}
0 1551383652317 744 394 mousemove //*[@id='user_confirm_password'] {"INPUT":{"data-rules":"","data-id":"user_confirm_password","type":"password","class":"input-text input-password ur-frontend-field ","name":"user_confirm_password","id":"user_confirm_password","placeholder":"","value":"","required":"required","data-label":"تایید گذرواژه"}} {}
0 1551383652367 814 389 mousemove //*[@id='user_confirm_password'] {"INPUT":{"data-rules":"","data-id":"user_confirm_password","type":"password","class":"input-text input-password ur-frontend-field ","name":"user_confirm_password","id":"user_confirm_password","placeholder":"","value":"","required":"required","data-label":"تایید گذرواژه"}} {}
0 1551383652417 874 399 mousemove //*[@id='user_confirm_password'] {"INPUT":{"data-rules":"","data-id":"user_confirm_password","type":"password","class":"input-text input-password ur-frontend-field ","name":"user_confirm_password","id":"user_confirm_password","placeholder":"","value":"","required":"required","data-label":"تایید گذرواژه"}} {}
0 1551383652469 920 434 mousemove //*[@id='ur-frontend-form']/form/button {"BUTTON":{"type":"submit","class":"btn button ur-submit-button"}} {}
0 1551383652519 973 482 mousemove //*[@id='ur-frontend-form'] {"DIV":{"class":"ur-frontend-form ur-frontend-form--rounded ur-frontend-form--rounded-edge ","id":"ur-frontend-form"}} {}
0 1551383652585 1018 540 mousemove /html/body/div[2]/div[3]/div/div[1] {"DIV":{"class":"copy-right"}} {}
0 1551383658613 1020 549 mousemove /html/body/div[2]/div[3]/div/div[1] {"DIV":{"class":"copy-right"}} {}
0 1551383658664 914 454 mousemove //*[@id='ur-frontend-form']/form/button {"BUTTON":{"type":"submit","class":"btn button ur-submit-button"}} {}
0 1551383658715 808 325 mousemove //*[@id='ur-frontend-form']/form/div[1]/div[2] {"DIV":{"class":"ur-form-grid ur-grid-2","style":"width:30%"}} {}
0 1551383658779 700 176 mousemove //*[@id='student_number'] {"INPUT":{"data-rules":"","data-id":"student_number","type":"text","class":"input-text input-text ur-frontend-field  ","name":"student_number","id":"student_number","placeholder":"شماره دانشجویی خود را وارد کنید","value":"","required":"required","data-label":"شماره دانشجویی"}} {}
0 1551383658829 674 143 mousemove //*[@id='student_number_field']/label {"LABEL":{"for":"student_number"}} {}
0 1551383659078 661 137 mousemove //*[@id='student_number_field']/label {"LABEL":{"for":"student_number"}} {}
0 1551383659128 592 115 mousemove //*[@id='ur-frontend-form']/form/div[1]/div[3] {"DIV":{"class":"ur-form-grid ur-grid-3","style":"width:30%"}} {}
0 1551383659178 528 72 mousemove //*[@id='ur-frontend-form'] {"DIV":{"class":"ur-frontend-form ur-frontend-form--rounded ur-frontend-form--rounded-edge ","id":"ur-frontend-form"}} {}
0 1551383659228 507 61 mousemove /html/body/div[2]/div[1]/div {"DIV":{"class":"container"}} {}
