cursor timestamp xpos ypos event xpath attrs extras
0 1551383934580 1394 1403 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934587 0 0 scroll / {} {}
0 1551383934590 1394 1433 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934595 1394 1455 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934603 1394 1481 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934604 0 0 scroll / {} {}
0 1551383934611 1394 1500 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934617 1394 1511 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934620 0 0 scroll / {} {}
0 1551383934627 1394 1528 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934632 1394 1541 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934637 0 0 scroll / {} {}
0 1551383934640 1394 1550 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934648 1394 1556 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934654 0 0 scroll / {} {}
0 1551383934656 1394 1567 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934663 1394 1578 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
0 1551383934670 0 0 scroll / {} {}
0 1551383934673 1394 1588 mousewheel //*[@id='slider-id-2e4974']/div/img {"IMG":{"src":"http://userpr.ir/wp-content/uploads/2019/01/Baseus-Thin-Case-Cover-For-Samsung-Galaxy-Note-81_2e4974.jpg","data-imagezoom":"true","class":"img-responsive","draggable":"false"}} {}
