cursor timestamp xpos ypos event xpath attrs extras
0 1546852460684 0 0 scroll / {} {}
0 1546852460716 0 0 load / {} {}
0 1546852460731 0 0 scroll / {} {}
0 1546852460900 916 190 mousemove //*[@id='main-banner']/div/h1/span {"SPAN":{"class":"segment-heading"}} {}
0 1546852460966 697 205 mousemove //*[@id='main-banner']/div/h1/span {"SPAN":{"class":"segment-heading"}} {}
0 1546852461031 600 248 mousemove //*[@id='main-banner']/div/p {"P":{}} {}
0 1546852461083 588 270 mousemove //*[@id='main-banner']/div {"DIV":{"class":"container"}} {}
0 1546852461460 595 277 mousemove //*[@id='main-banner']/div {"DIV":{"class":"container"}} {}
0 1546852461515 906 249 mousemove //*[@id='main-banner']/div/p {"P":{}} {}
0 1546852461581 1279 406 mousemove //*[@id='main-banner'] {"DIV":{"id":"main-banner","class":"main-banner banner text-center"}} {}
0 1546852461648 1360 518 mousemove /html/body/div[2]/div[3] {"DIV":{"class":"categories-section main-grid-border"}} {}
0 1546852461942 1358 522 mousemove /html/body/div[2]/div[3] {"DIV":{"class":"categories-section main-grid-border"}} {}
0 1546852461998 1535 510 mousemove /html {"HTML":{"lang":"en"}} {}
0 1546852462064 1535 518 mousemove /html {"HTML":{"lang":"en"}} {}
0 1546852462114 1535 522 mousemove /html {"HTML":{"lang":"en"}} {}
0 1546852462164 1535 534 mousemove /html {"HTML":{"lang":"en"}} {}
0 1546852462231 1535 546 mousemove /html {"HTML":{"lang":"en"}} {}
0 1546852462297 1535 554 mousemove /html {"HTML":{"lang":"en"}} {}
0 1546852462513 0 0 scroll / {} {}
0 1546852462531 0 0 scroll / {} {}
0 1546852462549 0 0 scroll / {} {}
0 1546852462565 0 0 scroll / {} {}
0 1546852462581 0 0 scroll / {} {}
0 1546852462598 0 0 scroll / {} {}
0 1546852462615 0 0 scroll / {} {}
0 1546852462632 0 0 scroll / {} {}
0 1546852462648 0 0 scroll / {} {}
0 1546852462664 0 0 scroll / {} {}
0 1546852463617 1531 1215 mousemove /html {"HTML":{"lang":"en"}} {}
0 1546852463679 1479 1218 mousemove /html/body/div[2]/div[3] {"DIV":{"class":"categories-section main-grid-border"}} {}
0 1546852463729 1460 1225 mousemove /html/body/div[2]/div[3] {"DIV":{"class":"categories-section main-grid-border"}} {}
0 1546852463780 1445 1242 mousemove /html/body/div[2]/div[3] {"DIV":{"class":"categories-section main-grid-border"}} {}
0 1546852463831 1434 1266 mousemove /html/body/div[2]/div[3] {"DIV":{"class":"categories-section main-grid-border"}} {}
0 1546852463881 1432 1274 mousemove /html/body/div[2]/div[3] {"DIV":{"class":"categories-section main-grid-border"}} {}
0 1546852463931 1436 1274 mousemove /html/body/div[2]/div[3] {"DIV":{"class":"categories-section main-grid-border"}} {}
0 1546852463996 1480 1272 mousemove /html/body/div[2]/div[3] {"DIV":{"class":"categories-section main-grid-border"}} {}
0 1546852464046 1510 1272 mousemove /html/body/div[2]/div[3] {"DIV":{"class":"categories-section main-grid-border"}} {}
0 1546852464097 1535 1279 mousemove /html {"HTML":{"lang":"en"}} {}
