cursor timestamp xpos ypos event xpath attrs extras
0 1551383921350 646 1863 mousewheel /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2] {"DIV":{"class":"single-right simpleCart_shelfItem"}} {}
0 1551383921358 646 1863 mousewheel /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2] {"DIV":{"class":"single-right simpleCart_shelfItem"}} {}
0 1551383921365 646 1863 mousewheel /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2] {"DIV":{"class":"single-right simpleCart_shelfItem"}} {}
0 1551383922641 658 1852 mousemove //*[@id='commentform']/div[2] {"DIV":{"class":"form-group row-grid"}} {}
0 1551383922697 783 1812 mousemove //*[@id='commentform']/ul {"UL":{"class":"filter-top col-sm-4"}} {}
0 1551383922747 997 1820 mousemove //*[@id='commentform']/ul {"UL":{"class":"filter-top col-sm-4"}} {}
0 1551383922797 1099 1834 mousemove //*[@id='commentform']/ul {"UL":{"class":"filter-top col-sm-4"}} {}
0 1551383923038 1129 1833 mousemove //*[@id='commentform']/ul {"UL":{"class":"filter-top col-sm-4"}} {}
0 1551383923098 1217 1795 mousemove //*[@id='commentform'] {"FORM":{"action":"http://userpr.ir/wp-comments-post.php","method":"post","id":"commentform","class":"comment-form"}} {}
0 1551383923164 1277 1783 mousemove //*[@id='commentform']/p[4] {"P":{}} {}
0 1551383923231 1286 1785 mousemove //*[@id='commentform'] {"FORM":{"action":"http://userpr.ir/wp-comments-post.php","method":"post","id":"commentform","class":"comment-form"}} {}
0 1551383923297 1290 1795 mousemove //*[@id='commentform'] {"FORM":{"action":"http://userpr.ir/wp-comments-post.php","method":"post","id":"commentform","class":"comment-form"}} {}
0 1551383923347 1290 1799 mousemove //*[@id='commentform'] {"FORM":{"action":"http://userpr.ir/wp-comments-post.php","method":"post","id":"commentform","class":"comment-form"}} {}
0 1551383923401 1295 1807 mousemove //*[@id='commentform']/ul/li {"LI":{"onmouseenter":"filter_hover_in(this)","onmouseleave":"filter_hover_out(this)","class":"col-sm-3"}} {}
0 1551383923599 1297 1824 click //*[@id='commentform']/ul/li {"LI":{"onmouseenter":"filter_hover_in(this)","onmouseleave":"filter_hover_out(this)","class":"col-sm-3"}} {}
0 1551383924733 1302 1830 mousemove //*[@id='commentform']/ul/li {"LI":{"onmouseenter":"filter_hover_in(this)","onmouseleave":"filter_hover_out(this)","class":"col-sm-3"}} {}
0 1551383924796 1324 1873 mousemove //*[@id='commentform']/ul/li/div/ul/li[1] {"LI":{"onclick":"add_features(this)","onmouseleave":"feature_hover_out(this)","onmouseenter":"feature_hover_in(this)","data-id":"51","data-attr-id":"1"}} {}
0 1551383924848 1331 1909 mousemove //*[@id='commentform']/ul/li/div/ul {"UL":{}} {}
0 1551383924912 1341 1925 mousemove //*[@id='commentform']/ul/li/div/ul/li[3] {"LI":{"onclick":"add_features(this)","onmouseleave":"feature_hover_out(this)","onmouseenter":"feature_hover_in(this)","data-id":"53","data-attr-id":"1"}} {}
0 1551383924962 1348 1940 mousemove //*[@id='commentform']/ul/li/div {"DIV":{"class":"options ","style":"display: block;"}} {}
0 1551383925093 1348 1940 mousemove //*[@id='commentform']/ul/li/div {"DIV":{"class":"options ","style":"display: block;"}} {}
0 1551383925146 1346 1932 mousemove //*[@id='commentform']/ul/li/div/ul/li[3] {"LI":{"onclick":"add_features(this)","onmouseleave":"feature_hover_out(this)","onmouseenter":"feature_hover_in(this)","data-id":"53","data-attr-id":"1"}} {}
0 1551383925378 1346 1927 click //*[@id='commentform']/ul/li/div/ul/li[3] {"LI":{"onclick":"add_features(this)","onmouseleave":"feature_hover_out(this)","onmouseenter":"feature_hover_in(this)","data-id":"53","data-attr-id":"1"}} {}
0 1551383925627 1350 1938 mousemove //*[@id='commentform']/ul/li/div/ul {"UL":{}} {}
0 1551383925678 1378 2012 mousemove //*[@id='commentform']/ul/li/div {"DIV":{"class":"options ","style":"display: block;"}} {}
0 1551383925728 1387 2061 mousemove //*[@id='commentform']/ul/li/div {"DIV":{"class":"options ","style":"display: block;"}} {}
0 1551383925779 1389 2072 mousemove //*[@id='commentform']/p[5] {"P":{"class":"form-submit"}} {}
0 1551383925979 1389 2073 mousemove //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383926045 1389 2074 mousemove //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383926095 1389 2075 mousemove //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383926179 1389 2078 mousemove //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383926229 1389 2083 mousemove //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383926279 1392 2095 mousemove //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383926329 1395 2107 mousemove //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383926511 1394 2111 mousemove //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383926563 1394 2108 mousemove //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383926627 1394 2100 mousemove //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383926677 1394 2096 mousemove //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383926727 1394 2092 mousemove //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383928322 1394 2089 click //*[@id='submit'] {"INPUT":{"name":"submit","type":"submit","id":"submit","class":"submit","value":"ارسال نظر"}} {}
0 1551383931032 0 0 unload / {} {}
