cursor timestamp xpos ypos event xpath attrs extras
0 1548320784592 0 0 load / {} {}
0 1548320785539 0 0 scroll / {} {}
0 1548320786746 1003 1 mousemove /html/body/div[2]/div[1]/div[1]/div[1]/a/span {"SPAN":{}} {}
0 1548320786800 996 39 mousemove /html/body/div[2]/div[1]/div[1]/div[1]/a/span {"SPAN":{}} {}
0 1548320786851 976 81 mousemove /html/body/div[2]/div[2]/div {"DIV":{"class":"single-wl3"}} {}
0 1548320786917 908 147 mousemove /html/body/div[2]/div[2]/div/div/p {"P":{"class":"product-nav"}} {}
0 1548320786968 786 195 mousemove /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2]/h4 {"H4":{}} {}
0 1548320787032 556 231 mousemove /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2]/h4 {"H4":{}} {}
0 1548320787083 511 231 mousemove /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2]/h4 {"H4":{}} {}
0 1548320787133 502 231 mousemove /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2]/h4 {"H4":{}} {}
0 1548320787183 445 233 mousemove /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2]/h4 {"H4":{}} {}
0 1548320787234 421 219 mousemove /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2]/h4 {"H4":{}} {}
0 1548320787367 404 222 mousemove /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2]/h4 {"H4":{}} {}
0 1548320787368 404 222 mousewheel /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2]/h4 {"H4":{}} {}
0 1548320787383 0 0 scroll / {} {}
0 1548320787399 0 0 scroll / {} {}
0 1548320787416 0 0 scroll / {} {}
0 1548320787433 0 0 scroll / {} {}
0 1548320787449 0 0 scroll / {} {}
0 1548320787466 0 0 scroll / {} {}
0 1548320787483 0 0 scroll / {} {}
0 1548320787499 0 0 scroll / {} {}
0 1548320787516 0 0 scroll / {} {}
0 1548320787533 0 0 scroll / {} {}
0 1548320787549 0 0 scroll / {} {}
0 1548320787566 0 0 scroll / {} {}
0 1548320788366 402 323 mousemove //*[@id='product-rater']/div[1] {"DIV":{"data-start-value":"0.82727272727273","data-productid":"85","class":"starbox small  autoupdate"}} {}
0 1548320788416 389 335 mousemove //*[@id='product-rater']/div[1] {"DIV":{"data-start-value":"0.82727272727273","data-productid":"85","class":"starbox small  autoupdate"}} {}
0 1548320788467 377 349 mousemove //*[@id='product-rater']/div[1] {"DIV":{"data-start-value":"0.82727272727273","data-productid":"85","class":"starbox small  autoupdate"}} {}
0 1548320788559 375 351 mousemove //*[@id='product-rater']/div[1] {"DIV":{"data-start-value":"0.82727272727273","data-productid":"85","class":"starbox small  autoupdate"}} {}
0 1548320788617 373 362 mousemove //*[@id='product-rater']/div[1] {"DIV":{"data-start-value":"0.82727272727273","data-productid":"85","class":"starbox small  autoupdate"}} {}
0 1548320788686 373 366 mousewheel //*[@id='product-rater']/div[1] {"DIV":{"data-start-value":"0.82727272727273","data-productid":"85","class":"starbox small  autoupdate"}} {}
0 1548320788701 0 0 scroll / {} {}
0 1548320788716 0 0 scroll / {} {}
0 1548320788734 0 0 scroll / {} {}
0 1548320788749 0 0 scroll / {} {}
0 1548320788767 0 0 scroll / {} {}
0 1548320788783 0 0 scroll / {} {}
0 1548320788801 0 0 scroll / {} {}
0 1548320788820 0 0 scroll / {} {}
0 1548320788835 373 464 mousewheel //*[@id='product-rater']/div[1] {"DIV":{"data-start-value":"0.82727272727273","data-productid":"85","class":"starbox small  autoupdate"}} {}
0 1548320788835 0 0 scroll / {} {}
0 1548320788850 0 0 scroll / {} {}
0 1548320788867 373 490 mousewheel //*[@id='product-rater']/div[1] {"DIV":{"data-start-value":"0.82727272727273","data-productid":"85","class":"starbox small  autoupdate"}} {}
0 1548320788867 0 0 scroll / {} {}
0 1548320788882 0 0 scroll / {} {}
0 1548320788899 0 0 scroll / {} {}
0 1548320788918 0 0 scroll / {} {}
0 1548320788933 0 0 scroll / {} {}
0 1548320788966 0 0 scroll / {} {}
0 1548320788983 0 0 scroll / {} {}
0 1548320789016 0 0 scroll / {} {}
0 1548320789034 0 0 scroll / {} {}
0 1548320789128 372 675 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320789182 360 675 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320789233 359 674 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320789283 378 654 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320789333 527 579 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320789384 649 516 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320789451 686 490 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320789502 719 461 mousemove /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2] {"DIV":{"class":"single-right simpleCart_shelfItem"}} {}
0 1548320789591 725 453 mousemove //*[@id='product-price'] {"P":{"id":"product-price","class":"price item_price"}} {}
0 1548320789649 701 462 mousemove /html/body/div[2]/div[2]/div/div/div[1]/div[1]/div/div[2] {"DIV":{"class":"single-right simpleCart_shelfItem"}} {}
0 1548320789701 689 466 mousemove //*[@id='product-introduction']/p/span {"SPAN":{}} {}
0 1548320789766 659 478 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320789990 660 477 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320790049 635 482 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320790100 616 485 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320790150 606 487 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320790200 590 491 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320790283 582 492 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320790334 567 493 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320790399 556 493 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320790450 542 495 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320790500 519 495 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320790550 508 496 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320790616 409 519 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320790950 380 523 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791031 379 524 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791239 379 530 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791310 382 520 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791366 382 514 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791418 380 505 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791483 375 502 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791534 363 501 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791584 341 501 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791683 316 501 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791733 311 497 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791800 321 495 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791867 462 511 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791917 562 514 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
0 1548320791984 691 514 mousemove //*[@id='product-introduction']/p {"P":{"style":"direction: rtl;"}} {}
